version account-id interface-id srcaddr dstaddr srcport dstport protocol packets bytes start end action log-status

2 123456789 eni-001 10.0.0.1 10.0.0.2 12345 80 6 10 1000 1716500000 1716500060 ACCEPT OK
2 123456789 eni-001 10.0.0.1 10.0.0.2 12345 80 6 15 1500 1716500060 1716500120 ACCEPT OK
2 123456789 eni-001 10.0.0.1 10.0.0.3 23456 443 6 20 2000 1716500120 1716500180 ACCEPT OK
2 123456789 eni-001 10.0.0.2 10.0.0.4 53 5050 17 5 500 1716500180 1716500240 ACCEPT OK
2 123456789 eni-001 10.0.0.5 10.0.0.6 22 60000 6 8 800 1716500240 1716500300 REJECT OK
2 123456789 eni-001 192.168.1.10 172.16.0.20 49152 8080 6 12 1200 1716500300 1716500360 ACCEPT OK
2 123456789 eni-001 172.16.0.20 192.168.1.10 8080 49152 6 14 1400 1716500360 1716500420 ACCEPT OK
2 123456789 eni-001 10.0.0.7 10.0.0.8 65535 0 17 2 200 1716500420 1716500480 ACCEPT OK
2 123456789 eni-001 10.0.0.9 10.0.0.10 - - 6 1 100 1716500480 1716500540 ACCEPT OK

bad malformed line

2 123456789 eni-001 10.1.1.1 10.1.1.2 1111 2222 6 25 2500 1716500540 1716500600 ACCEPT OK
2 123456789 eni-001 10.1.1.1 10.1.1.2 1111 2222 6 30 3000 1716500600 1716500660 ACCEPT OK
2 123456789 eni-001 172.31.0.1 8.8.8.8 53000 53 17 18 1800 1716500660 1716500720 ACCEPT OK
